MovieID,RatingCount,RatingMean,Title,Genres
318,2227,4.554557700942973,"Shawshank Redemption, The (1994)",Drama
858,2223,4.524966261808367,"Godfather, The (1972)",Action|Crime|Drama
50,1783,4.517106001121705,"Usual Suspects, The (1995)",Crime|Thriller
527,2304,4.510416666666667,Schindler's List (1993),Drama|War
1198,2514,4.477724741447892,Raiders of the Lost Ark (1981),Action|Adventure
904,1050,4.476190476190476,Rear Window (1954),Mystery|Thriller
260,2991,4.453694416583082,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
750,1367,4.4498902706656915,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War
912,1669,4.412822049131217,Casablanca (1942),Drama|Romance|War
2762,2459,4.406262708418057,"Sixth Sense, The (1999)",Thriller
913,1043,4.395973154362416,"Maltese Falcon, The (1941)",Film-Noir|Mystery
1193,1725,4.390724637681159,One Flew Over the Cuckoo's Nest (1975),Drama
923,1116,4.388888888888889,Citizen Kane (1941),Drama
908,1315,4.38403041825095,North by Northwest (1959),Drama|Thriller
1221,1692,4.357565011820331,"Godfather: Part II, The (1974)",Action|Crime|Drama
593,2578,4.3518231186966645,"Silence of the Lambs, The (1991)",Drama|Thriller
1252,1185,4.339240506329114,Chinatown (1974),Film-Noir|Mystery|Thriller
2028,2653,4.337353938937053,Saving Private Ryan (1998),Action|Drama|War
1136,1599,4.335209505941213,Monty Python and the Holy Grail (1974),Comedy
2324,1152,4.329861111111111,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama
1234,1049,4.320305052430887,"Sting, The (1973)",Comedy|Crime
2858,3428,4.3173862310385065,American Beauty (1999),Comedy|Drama
2571,2590,4.315830115830116,"Matrix, The (1999)",Action|Sci-Fi|Thriller
1197,2318,4.3037100949094045,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance
1233,1001,4.302697302697303,"Boat, The (Das Boot) (1981)",Action|Drama|War
1196,2990,4.292976588628763,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War
296,2171,4.278212805158913,Pulp Fiction (1994),Crime|Drama
1213,1657,4.275196137598069,GoodFellas (1990),Crime|Drama
541,1800,4.273333333333333,Blade Runner (1982),Film-Noir|Sci-Fi
608,2513,4.254675686430561,Fargo (1996),Crime|Drama|Thriller
1225,1382,4.251808972503618,Amadeus (1984),Drama
969,1057,4.251655629139073,"African Queen, The (1951)",Action|Adventure|Romance|War
1278,1193,4.250628667225482,Young Frankenstein (1974),Comedy|Horror
919,1718,4.247962747380675,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical
1247,1261,4.245836637589215,"Graduate, The (1967)",Drama|Romance
1208,1176,4.243197278911564,Apocalypse Now (1979),Drama|War
2804,1352,4.238905325443787,"Christmas Story, A (1983)",Comedy|Drama
110,2443,4.234957020057307,Braveheart (1995),Action|Drama|War
2692,1072,4.224813432835821,Run Lola Run (Lola rennt) (1998),Action|Crime|Romance
1617,2288,4.219405594405594,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
3114,1585,4.218927444794953,Toy Story 2 (1999),Animation|Children's|Comedy
1219,1263,4.218527315914489,Psycho (1960),Horror|Thriller
1304,1419,4.215644820295983,Butch Cassidy and the Sundance Kid (1969),Action|Comedy|Western
1358,1177,4.208156329651657,Sling Blade (1996),Drama|Thriller
1242,1112,4.193345323741007,Glory (1989),Action|Drama|War
111,1240,4.183870967741935,Taxi Driver (1976),Drama|Thriller
1288,1118,4.179785330948121,This Is Spinal Tap (1984),Comedy|Drama|Musical
1704,1548,4.176356589147287,Good Will Hunting (1997),Drama
1214,2024,4.159584980237154,Alien (1979),Action|Horror|Sci-Fi|Thriller
3147,1222,4.154664484451718,"Green Mile, The (1999)",Drama|Thriller
1240,2098,4.152049571020019,"Terminator, The (1984)",Action|Sci-Fi|Thriller
1,2077,4.146846413095811,Toy Story (1995),Animation|Children's|Comedy
1230,1334,4.14167916041979,Annie Hall (1977),Comedy|Romance
1089,1259,4.13582208101668,Reservoir Dogs (1992),Crime|Thriller
1291,1628,4.133292383292384,Indiana Jones and the Last Crusade (1989),Action|Adventure
2396,2369,4.127479949345715,Shakespeare in Love (1998),Comedy|Romance
1200,1820,4.125824175824176,Aliens (1986),Action|Sci-Fi|Thriller|War
2997,2241,4.125390450691656,Being John Malkovich (1999),Comedy
1294,1099,4.124658780709736,M*A*S*H (1970),Comedy|War
1036,1666,4.121848739495798,Die Hard (1988),Action|Thriller
2918,1473,4.11744738628649,Ferris Bueller's Day Off (1986),Comedy
1222,1254,4.110845295055821,Full Metal Jacket (1987),Action|Drama|War
47,1137,4.106420404573439,Seven (Se7en) (1995),Crime|Thriller
3578,1924,4.106029106029106,Gladiator (2000),Action|Drama
1258,1087,4.104875804967802,"Shining, The (1980)",Horror
457,1995,4.103258145363409,"Fugitive, The (1993)",Action|Thriller
1259,1785,4.0969187675070025,Stand by Me (1986),Adventure|Comedy|Drama
1090,1143,4.090113735783027,Platoon (1986),Drama|War
1387,1697,4.089569829110195,Jaws (1975),Action|Horror
356,2194,4.087967183226983,Forrest Gump (1994),Comedy|Romance|War
1206,1229,4.0781122864117165,"Clockwork Orange, A (1971)",Sci-Fi
2959,1451,4.077188146106134,Fight Club (1999),Drama
150,1251,4.073541167066347,Apollo 13 (1995),Drama
1307,1568,4.073341836734694,When Harry Met Sally... (1989),Comedy|Romance
